COMPANY_ID,MERCER_ONECODE,OG_FUTURE_DATED_EVENTS_IND,YEAR_BEGIN_DATE,YEAR_END_DATE
25085,TOSH08,Y,01-JAN-23,31-DEC-23
17972,TELE18,Y,01-JAN-23,31-DEC-23
4471,AHOLD1,Y,01-JAN-23,31-DEC-23
26839,,,01-MAR-23,29-FEB-24
28798,MARS18,Y,01-JAN-23,31-DEC-23
4631,UMPQUA,Y,01-JAN-23,31-DEC-23
30975,,,01-JUL-23,30-JUN-24
6452,RECU11,Y,01-JAN-23,31-DEC-23
23557,NATU30,Y,01-JAN-23,31-DEC-23
27123,,,01-JUL-23,30-JUN-24
28557,DRIL09,Y,01-JAN-23,31-DEC-23
24954,WSFS01,Y,01-JAN-23,31-DEC-23
30376,KEND52,Y,01-JUN-23,31-MAY-24
5291,,,01-JAN-23,31-DEC-23
5332,,,01-JAN-23,31-DEC-23
11873,BENB01,Y,01-JUN-23,31-DEC-23
25079,RADG01,Y,01-JAN-23,31-DEC-23
6035,,,01-JAN-23,30-JAN-23
27801,RODD01,Y,01-JAN-23,31-DEC-23
5451,ZERO11,Y,01-JAN-23,30-JAN-23
6132,PROS69,Y,01-JAN-23,30-JAN-23
3150,JUST39,Y,01-JAN-23,30-JAN-23
4134,MALA55,Y,01-JAN-23,31-DEC-23
6512,DBRIDA,Y,01-JAN-23,31-DEC-23
4951,WINN20,Y,01-JAN-23,31-DEC-23
5792,CEDA09,Y,01-JAN-23,31-DEC-23
4911,SEITAM,Y,01-JAN-23,30-JAN-23
25201,CELL09,Y,01-JAN-23,31-DEC-23
5153,CLRCLT,Y,01-JAN-23,31-DEC-23
5611,CBLVIS,Y,01-JAN-23,31-DEC-23
28875,NEME08,Y,01-JAN-23,31-DEC-23
27915,,,01-AUG-23,31-JUL-24
28736,KEI01H,Y,01-JAN-23,31-DEC-23
28036,RDOL01,Y,01-JAN-23,31-DEC-23
4231,,,01-JAN-23,30-JAN-23
16472,NETS12,Y,01-JAN-23,31-DEC-23
27921,MCGR19,Y,01-JAN-23,31-DEC-23
3650,NIFC01,Y,01-JAN-23,31-DEC-23
12593,PYRA28,Y,01-JAN-23,30-JAN-23
27137,ULTR22,Y,01-JUL-23,30-JUN-24
24694,AEGI33,Y,01-JAN-23,31-DEC-23
24579,CON263,Y,01-JAN-23,31-DEC-23
27656,SPEC51,Y,01-JUL-23,30-JUN-24
3669,BLYT04,Y,01-JAN-23,31-DEC-23
27776,MIL206,Y,01-JAN-23,31-DEC-23
28554,7ELEVN,Y,01-JAN-23,31-DEC-23
4811,STAO02,Y,01-JAN-23,31-DEC-23
4931,MEDIMP,Y,01-JAN-23,31-DEC-23
28080,MANA17,Y,01-JAN-23,31-DEC-23
4131,,,01-JAN-23,30-JAN-23
4349,AMETAM,Y,01-JAN-23,31-DEC-23
4230,PEAR23,Y,01-JAN-23,31-DEC-23
16373,UNDE05,Y,01-JAN-23,31-DEC-23
28114,STA508,Y,01-JAN-23,31-DEC-23
3047,,,01-JUL-23,30-JUN-24
23493,PXL01H,Y,01-JAN-23,31-DEC-23
28399,,,01-FEB-23,31-DEC-23
26759,,,01-FEB-23,31-JAN-24
6774,,,01-JAN-23,31-DEC-23
27736,ATL263,Y,01-JAN-23,31-DEC-23
5132,USIC03,Y,01-JAN-23,31-DEC-23
25677,,,01-JAN-23,31-DEC-23
5731,,,01-JAN-23,31-DEC-23
29006,EAS259,Y,01-JAN-23,31-DEC-23
29695,,,01-JAN-23,31-DEC-23
25826,,,01-JAN-23,31-DEC-23
27218,,,01-JAN-23,31-DEC-23
28082,YOSH01,Y,01-JAN-23,31-DEC-23
5531,EPCO18,Y,01-JAN-23,31-DEC-23
23594,AGFA26,Y,01-JAN-23,31-DEC-23
17577,GLO435,Y,01-JAN-23,31-DEC-23
25037,CALY32,Y,01-JAN-23,31-DEC-23
24977,THAI85,Y,01-JAN-23,31-DEC-23
26289,,,01-JUL-23,30-JUN-24
5671,WEUN03,Y,01-JAN-23,31-DEC-23
27821,NORT77,Y,01-JAN-23,31-DEC-23
23381,IHOPCO,Y,01-JAN-23,31-MAY-23
4269,MOTO98,Y,01-JAN-23,31-DEC-23
5051,VENLOU,Y,01-JAN-23,31-DEC-23
25441,,,01-JAN-23,31-DEC-23
4249,FIMU11,Y,01-JAN-23,31-DEC-23
3188,ASEN0Z,Y,01-JAN-23,31-DEC-23
9392,VALV22,Y,01-JAN-23,31-DEC-23
28955,WEL108,Y,01-JAN-23,31-DEC-23
23437,AVALON,Y,01-JAN-23,31-DEC-23
5252,TATA02,Y,01-JAN-23,31-DEC-23
21896,,,01-JAN-23,31-DEC-23
24254,,,01-JAN-23,31-DEC-23
16134,DEGUSA,Y,01-JAN-23,31-DEC-23
5111,THIB05,Y,01-JAN-23,30-JAN-23
28014,BOND55,Y,01-JAN-23,31-DEC-23
11172,,,01-MAY-23,30-APR-24
27699,HORACE,Y,01-JAN-23,31-DEC-23
5691,TIGE01,Y,01-JAN-23,31-DEC-23
5251,FORM07,Y,01-JAN-23,31-DEC-23
6652,HDBROC,Y,01-JAN-23,30-JAN-23
2847,DLCR01,Y,01-JAN-23,30-JAN-23
10472,,,01-FEB-23,31-JAN-24
4389,WIND31,Y,01-JAN-23,31-JAN-23
5511,IMSDFL,Y,01-JAN-23,31-DEC-23
27936,SIZE01,Y,01-JAN-23,31-DEC-23
28035,WES112,Y,01-JAN-23,31-DEC-23
4049,,,01-JAN-23,31-DEC-23
3388,,,01-MAR-23,29-FEB-24
23555,HILL61,Y,01-JAN-23,31-DEC-23
27894,WSTN01,Y,01-JAN-23,31-DEC-23
28640,BCADFL,Y,01-JAN-23,31-DEC-23
26998,,,01-APR-23,31-MAR-24
20193,,,01-JAN-23,31-DEC-23
26535,,,01-FEB-23,31-JAN-24
5073,PCCS01,Y,01-JAN-23,31-DEC-23
3589,26648K,Y,01-JAN-23,31-DEC-23
28398,VICNYO,Y,01-JAN-23,31-DEC-23
28715,,,01-JAN-23,31-DEC-23
17353,TDRBOS,Y,01-JAN-23,31-DEC-23
14113,MIN798,Y,01-JAN-23,31-DEC-23
10172,,,01-APR-23,31-DEC-23
27836,SOU428,Y,01-JAN-23,31-DEC-23
25197,TOS104,Y,01-JAN-23,31-DEC-23
3649,WOLV15,Y,01-JAN-23,30-JAN-23
24540,ENV153,Y,01-JAN-23,31-DEC-23
28083,EPIS06,Y,01-JAN-23,31-DEC-23
18352,KLIC05,Y,01-JAN-23,31-DEC-23
12592,,,01-JUL-23,30-JUN-24
5074,CATT10,Y,01-JAN-23,31-DEC-23
2848,,,01-JAN-23,31-DEC-23
23476,NCCIIN,Y,01-JAN-23,31-DEC-23
5272,MANT01,Y,01-JAN-23,31-DEC-23
27735,AIRN09,Y,01-JAN-23,31-DEC-23
25034,STB01H,Y,01-JAN-23,31-DEC-23
26085,,,01-JAN-23,31-DEC-23
4229,UNICCO,Y,01-JAN-23,31-DEC-23
24894,NEOV02,Y,01-JAN-23,31-DEC-23
22097,,,01-JAN-23,31-DEC-23
28055,TEX121,Y,01-JAN-23,31-DEC-23
3631,DIGI40,Y,01-JAN-23,31-DEC-23
4671,AEFDFL,Y,01-JAN-23,31-DEC-23
25237,,,01-JAN-23,31-DEC-23
4832,,,01-JAN-23,31-DEC-23
2867,HPSJOA,Y,01-JAN-23,30-JAN-23
27718,Will23,Y,01-JAN-23,31-DEC-23
16956,ASE01H,Y,01-JAN-23,31-DEC-23
27794,PEET04,Y,01-JAN-23,31-DEC-23
25096,,,01-JAN-23,31-DEC-23
24936,GUER15,Y,01-JAN-23,31-DEC-23
4873,ABLE13,Y,01-JAN-23,30-JAN-23
29555,,,01-JAN-23,31-DEC-23
4651,STML01,Y,01-JAN-23,31-DEC-23
3511,REGORG,Y,01-JAN-23,30-JAN-23
4731,EDMU05,Y,01-JAN-23,31-DEC-23
3569,RESI61,Y,01-JAN-23,31-DEC-23
26856,HOLL08,Y,01-APR-23,31-MAR-24
23474,NUVA01,Y,01-JAN-23,31-DEC-23
10112,GETW01,Y,01-APR-23,31-MAR-24
17852,MEDT03,Y,01-JAN-23,31-DEC-23
27959,EQUANT,Y,01-JAN-23,31-DEC-23
5391,WAKE11,Y,01-JAN-23,30-JAN-23
17576,PATH07,Y,01-JAN-23,31-DEC-23
24736,QEPC01,Y,01-JAN-23,31-DEC-23
27754,GLEN90,Y,01-JAN-23,31-DEC-23
5191,MAUR17,Y,01-JAN-23,31-DEC-23
3651,,,01-JAN-23,31-DEC-23
27803,VSECOD,Y,01-JAN-23,31-DEC-23
23435,CAR446,Y,01-JAN-23,31-DEC-23
29315,,,01-JAN-23,31-DEC-23
23403,MERR60,Y,01-JAN-23,31-DEC-23
28995,ALT133,Y,01-JAN-23,31-DEC-23
18252,HELP17,Y,01-JAN-23,31-DEC-23
27694,OMBRIC,Y,01-JAN-23,31-DEC-23
28078,VIEW01,Y,01-JAN-23,31-DEC-23
17613,CSC01H,Y,01-JAN-23,31-DEC-23
28760,MICR11,Y,01-JAN-23,31-DEC-23
22066,,,01-JAN-23,31-DEC-23
28623,WIDE02,Y,01-JAN-23,31-DEC-23
29441,,,01-JAN-23,31-DEC-23
